Matrix_Size_N,Trial_Number,NW_Time_Seconds,BH_Time_Seconds
40,33,0.0001237001270055771,0.00805990002118051
40,34,0.00012530013918876648,0.008642299799248576
40,35,0.00014810007996857166,0.008664499968290329
40,36,0.00012520002201199532,0.007986200042068958
40,37,0.00015069986693561077,0.008608500007539988
40,38,0.00012809992767870426,0.008248500060290098
40,39,0.0001275001559406519,0.009204000001773238
40,40,0.0001501000951975584,0.011777899926528335
40,41,0.0001297001726925373,0.010524499928578734
40,42,0.00026400014758110046,0.013616800075396895
40,43,0.00012159999459981918,0.009367499966174364
40,44,0.0001300000585615635,0.01109719998203218
40,45,0.00012530013918876648,0.013232999946922064
40,46,0.00014159991405904293,0.00805120007134974
40,47,0.00012269988656044006,0.008015199797227979
40,48,0.00013109995052218437,0.00949409999884665
40,49,0.0002474000211805105,0.01281040022149682
40,50,0.00012440001592040062,0.008992499904707074
40,51,0.00012480001896619797,0.01057119993492961
40,52,0.00012079998850822449,0.007722599897533655
40,53,0.0001246999017894268,0.008607099996879697
40,54,0.00012660003267228603,0.018975199898704886
40,55,0.00014730007387697697,0.008741999976336956
40,56,0.00012640003114938736,0.007951299892738461
40,57,0.0001230000052601099,0.007798000006005168
40,58,0.00011949986219406128,0.007914699846878648
40,59,0.00012429989874362946,0.008262600051239133
40,60,0.00011920020915567875,0.008122500032186508
40,61,0.0001238000113517046,0.00793519988656044
40,62,0.00013029994443058968,0.008120300015434623
40,63,0.00014389981515705585,0.011374700115993619
40,64,0.00012729992158710957,0.008570600068196654
40,65,0.00025040004402399063,0.008991500129923224
40,66,0.00012400001287460327,0.008121200138702989
40,67,0.00014990009367465973,0.013230300042778254
40,68,0.00021199998445808887,0.009591199923306704
40,69,0.00012030010111629963,0.007784599903970957
40,70,0.0001216998789459467,0.00856049987487495
40,71,0.0001316999550908804,0.007924500154331326
40,72,0.00013340008445084095,0.008665399858728051
40,73,0.00012600002810359,0.00878859986551106
40,74,0.00012400001287460327,0.007895699935033917
40,75,0.00012589991092681885,0.009626099839806557
40,76,0.0001275001559406519,0.010673799784854054
40,77,0.0002778999041765928,0.01192130008712411
40,78,0.0002862000837922096,0.01481750002130866
40,79,0.00014490005560219288,0.00938869989477098
40,80,0.00014190003275871277,0.00908049987629056
40,81,0.00011999998241662979,0.00923480000346899
40,82,0.0001287998165935278,0.008397300029173493
40,83,0.00014430005103349686,0.008149799890816212
40,84,0.00012189988046884537,0.007909299805760384
40,85,0.00012260000221431255,0.007804200053215027
40,86,0.000125599792227149,0.007658499991521239
40,87,0.00012390012852847576,0.008321099914610386
40,88,0.00013729999773204327,0.00817549997009337
40,89,0.0001329001970589161,0.009065699996426702
40,90,0.00013240007683634758,0.009725100127980113
40,91,0.00021159998141229153,0.008651199983432889
40,92,0.00015380000695586205,0.012613799888640642
40,93,0.00016200006939470768,0.010286299977451563
40,94,0.00023060012608766556,0.012794999871402979
40,95,0.00023220013827085495,0.013314299983903766
40,96,0.0001713000237941742,0.008475599810481071
40,97,0.00012179999612271786,0.007783700013533235
40,98,0.00011970009654760361,0.008147499989718199
40,99,0.00013070018030703068,0.00815899996086955
40,100,0.00017370004206895828,0.01403090008534491
100,1,0.0013882999774068594,0.1631737998686731
100,2,0.0007080999203026295,0.18190150009468198
100,3,0.0006758000236004591,0.17410529986955225
100,4,0.0006798000540584326,0.14214780018664896
100,5,0.0007124000694602728,0.14719190006144345
100,6,0.0007193000055849552,0.14776009996421635
100,7,0.0007245999295264482,0.15804110001772642
100,8,0.0007344000041484833,0.1516167998779565
100,9,0.0007730000652372837,0.17469389992766082
100,10,0.0008193000685423613,0.13332409993745387
100,11,0.0007193000055849552,0.14881099993363023
100,12,0.0009798998944461346,0.19040570012293756
100,13,0.0013208999298512936,0.17696510022506118
100,14,0.0006719001103192568,0.16753930016420782
100,15,0.0013373000547289848,0.1524837000761181
100,16,0.0007116999477148056,0.1453861000481993
100,17,0.0008062999695539474,0.15426840004511178
100,18,0.0006630998104810715,0.1420849000569433
100,19,0.0007245000451803207,0.15634159999899566
100,20,0.0006624001543968916,0.15439649997279048
100,21,0.0006650998257100582,0.17818090016953647
100,22,0.0007088000420480967,0.15800699987448752
100,23,0.0014478000812232494,0.14879659982398152
100,24,0.0006663000676780939,0.1512186999898404
100,25,0.0007158000953495502,0.20438380003906786
100,26,0.0008862998802214861,0.15248110005632043
100,27,0.0009564000647515059,0.15176100004464388
100,28,0.0006823001895099878,0.13428989984095097
100,29,0.0007582001853734255,0.15984570002183318
100,30,0.0006622001528739929,0.16626910003833473
100,31,0.0006711001042276621,0.16006019990891218
100,32,0.0014144000597298145,0.148873700061813
100,33,0.0007038998883217573,0.15479059983044863
100,34,0.0008878998924046755,0.15902870008721948
100,35,0.0006673000752925873,0.15124779986217618
100,36,0.0006663000676780939,0.18335719988681376
100,37,0.0006580001208931208,0.14835120015777647
100,38,0.0009606999810785055,0.15095190005376935
100,39,0.0006941000465303659,0.17354539991356432
100,40,0.0007562001701444387,0.1699310999829322
100,41,0.0006838000845164061,0.1355540999211371
